gppd_idnr,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
BRA0030060,1.89,1.99,1.95,1.81,1.74,SOLAR-V1,SOLAR-V1,SOLAR-V1,SOLAR-V1,SOLAR-V1
BRA0028858,51.95,41.86,46.45,44.28,44.96,WIND-V1,WIND-V1,WIND-V1,WIND-V1,WIND-V1
BRA0030373,,,59.34,54.15,47.66,NO-ESTIMATION,NO-ESTIMATION,WIND-V1,WIND-V1,WIND-V1
BRA0028857,,,94.05,87.95,78.37,NO-ESTIMATION,NO-ESTIMATION,WIND-V1,WIND-V1,WIND-V1
BRA0030980,,,,,3.95,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
BRA0032975,,,,,3.95,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
BRA0030176,,,,,7.58,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
BRA0030175,,,,,7.58,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
BRA0002829,,,,,34.07,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
BRA0030731,,,,,66.63,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,WIND-V1
BRA0028820,106.98,140.26,122.07,126.11,125.28,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
BRA0030557,10539.69,10245.07,10249.81,8472.46,9555.6,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
