HDR,ROLLING SYSTEM DEMAND,
VD,2.02109E+13,27313
VD,2.02109E+13,27376
VD,2.02109E+13,27570
VD,2.02109E+13,27526
VD,2.02109E+13,27648
VD,2.02109E+13,27710
VD,2.02109E+13,27703
VD,2.02109E+13,27721
VD,2.02109E+13,27777
VD,2.02109E+13,27858
VD,2.02109E+13,27868
VD,2.02109E+13,27847
VD,2.02109E+13,27781
VD,2.02109E+13,27703
VD,2.02109E+13,27757
VD,2.02109E+13,27772
VD,2.02109E+13,27717
VD,2.02109E+13,27628
VD,2.02109E+13,27574
VD,2.02109E+13,27484
VD,2.02109E+13,27486
VD,2.02109E+13,27466
VD,2.02109E+13,27453
VD,2.02109E+13,27512
VD,2.02109E+13,27379
VD,2.02109E+13,27268
VD,2.02109E+13,27203
VD,2.02109E+13,27144
VD,2.02109E+13,27152
VD,2.02109E+13,27122
VD,2.02109E+13,27134
VD,2.02109E+13,27072
VD,2.02109E+13,27049
