Season,Site,Month,Day,Year,ND Coach,W/L/T,Score,ND Rank,Opponent,Opp. Coach,Opp. Rank
1923,EBBETS FIELD,OCT,13,1923,ROCKNE,W,13-0,No Poll,ARMY,JOHN McEWAN,No Poll
1923,AWAY,OCT,20,1923,ROCKNE,W,25-2,No Poll,PRINCETON,BILL ROPER,No Poll
1923,HOME,OCT,27,1923,ROCKNE,W,35-7,No Poll,GEORGIA TECH,WILLIAM ALEXANDER,No Poll
1923,HOME,NOV,3,1923,ROCKNE,W,34-7,No Poll,PURDUE,JAMES PHELAN,No Poll
1923,AWAY,NOV,10,1923,ROCKNE,L,14-28,No Poll,NEBRASKA,FRED DAWSON,No Poll
1923,HOME,NOV,17,1923,ROCKNE,W,34-7,No Poll,BUTLER,HARLAN PAGE,No Poll
1923,AWAY,NOV,24,1923,ROCKNE,W,26-0,No Poll,CARNEGIE TECH,WALTER STEFFEN,No Poll
1923,AWAY,NOV,29,1923,ROCKNE,W,13-0,No Poll,ST. LOUIS,UNKNOWN,No Poll
1924,HOME,OCT,4,1924,ROCKNE,W,40-0,No Poll,LOMBARD,HARRY BELL,No Poll
1924,HOME,OCT,11,1924,ROCKNE,W,34-0,No Poll,WABASH,PETE VAUGHN,No Poll
1924,POLO GROUNDS,OCT,18,1924,ROCKNE,W,13-7,No Poll,ARMY,JOHN McEWAN,No Poll
1924,AWAY,OCT,25,1924,ROCKNE,W,48-10,No Poll,PRINCETON,BILL ROPER,No Poll
1924,HOME,NOV,1,1924,ROCKNE,W,34-3,No Poll,GEORGIA TECH,WILLIAM ALEXANDER,No Poll
1924,AWAY,NOV,8,1924,ROCKNE,W,38-3,No Poll,WISCONSIN,JACK RYAN,No Poll
1924,HOME,NOV,15,1924,ROCKNE,W,34-6,No Poll,NEBRASKA,FRED DAWSON,No Poll
1924,SOLDIER FIELD,NOV,22,1924,ROCKNE,W,13-6,No Poll,NORTHWESTERN,GLENN THISTLEWAITE,No Poll
1924,FORBES FIELD,NOV,29,1924,ROCKNE,W,40-19,No Poll,CARNEGIE TECH,WALTER STEFFEN,No Poll
1924,ROSE BOWL,JAN,1,1925,ROCKNE,W,27-10,No Poll,STANFORD,"GLENN ""POP"" WARNER",No Poll
1925,HOME,SEP,26,1925,ROCKNE,W,41-0,No Poll,BAYLOR,FRANK BRIDGES,No Poll
1925,HOME,OCT,3,1925,ROCKNE,W,69-0,No Poll,LOMBARD,UNKNOWN,No Poll
1925,HOME,OCT,10,1925,ROCKNE,W,19-3,No Poll,BELOIT,TOMMY MILLS,No Poll
1925,YANKEE STADIUM,OCT,17,1925,ROCKNE,L,0-27,No Poll,ARMY,JOHN McEWAN,No Poll
1925,AWAY,OCT,24,1925,ROCKNE,W,19-7,No Poll,MINNESOTA,CLARENCE SPEARS,No Poll
1925,AWAY,OCT,31,1925,ROCKNE,W,13-0,No Poll,GEORGIA TECH,WILLIAM ALEXANDER,No Poll
1925,AWAY,NOV,7,1925,ROCKNE,T,0-0,No Poll,PENN STATE,HUGO BEDZEK,No Poll
1925,HOME,NOV,14,1925,ROCKNE,W,26-0,No Poll,CARNEGIE TECH,WALTER STEFFEN,No Poll
1925,HOME,NOV,21,1925,ROCKNE,W,13-10,No Poll,NORTHWESTERN,GLENN THISTLEWAITE,No Poll
1925,AWAY,NOV,26,1925,ROCKNE,L,0-17,No Poll,NEBRASKA,E.E. BEARG,No Poll
1926,HOME,OCT,2,1926,ROCKNE,W,77-0,No Poll,BELOIT,RAY BOHLER,No Poll
1926,AWAY,OCT,9,1926,ROCKNE,W,20-7,No Poll,MINNESOTA,CLARENCE SPEARS,No Poll
1926,HOME,OCT,16,1926,ROCKNE,W,28-0,No Poll,PENN STATE,HUGO BEDZEK,No Poll
1926,AWAY,OCT,23,1926,ROCKNE,W,28-14,No Poll,NORTHWESTERN,GLENN THISTLEWAITE,No Poll
1926,HOME,OCT,30,1926,ROCKNE,W,28-10,No Poll,GEORGIA TECH,WILLIAM ALEXANDER,No Poll
1926,HOME,NOV,6,1926,ROCKNE,W,26-0,No Poll,INDIANA,HARLAN PAGE,No Poll
1926,YANKEE STADIUM,NOV,13,1926,ROCKNE,W,28-0,No Poll,ARMY,BILL JONES,No Poll
1926,HOME,NOV,20,1926,ROCKNE,W,21-0,No Poll,DRAKE,OSSIE SOLEM,No Poll
1926,FORBES FIELD,NOV,27,1926,ROCKNE,L,0-19,No Poll,CARNEGIE TECH,WALTER STEFFEN,No Poll
1926,AWAY,DEC,4,1926,ROCKNE,W,13-12,No Poll,SOUTHERN CAL,HOWARD JONES,No Poll
1927,HOME,OCT,1,1927,ROCKNE,W,28-7,No Poll,COE,UNKNOWN,No Poll
1927,AWAY,OCT,8,1927,ROCKNE,W,20-0,No Poll,DETROIT,"CHARLES ""GUS"" DORAIS",No Poll
1927,BALTIMORE,OCT,15,1927,ROCKNE,W,19-6,No Poll,NAVY,BILL INGRAM,No Poll
1927,AWAY,OCT,22,1927,ROCKNE,W,19-6,No Poll,INDIANA,HARLAN PAGE,No Poll
1927,HOME,OCT,29,1927,ROCKNE,W,26-7,No Poll,GEORGIA TECH,WILLIAM ALEXANDER,No Poll
1927,HOME,NOV,5,1927,ROCKNE,T,7-7,No Poll,MINNESOTA,CLARENCE SPEARS,No Poll
1927,YANKEE STADIUM,NOV,12,1927,ROCKNE,L,0-18,No Poll,ARMY,BILL JONES,No Poll
1927,AWAY,NOV,19,1927,ROCKNE,W,32-0,No Poll,DRAKE,OSSIE SOLEM,No Poll
1927,SOLDIER FIELD,NOV,26,1927,ROCKNE,W,32-0,No Poll,SOUTHERN CAL,HOWARD JONES,No Poll
1928,HOME,SEP,29,1928,ROCKNE,W,10-0,No Poll,LOYOLA-NEW ORLEANS,CLARK SHAUGHNESSY,No Poll
1928,AWAY,OCT,6,1928,ROCKNE,L,13-52,No Poll,WISCONSIN,GLENN THISTLEWAITE,No Poll
1928,SOLDIER FIELD,OCT,13,1928,ROCKNE,W,19-14,No Poll,NAVY,BILL INGRAM,No Poll
1928,AWAY,OCT,20,1928,ROCKNE,L,0-13,No Poll,GEORGIA TECH,WILLIAM ALEXANDER,No Poll
1928,HOME,OCT,27,1928,ROCKNE,W,32-6,No Poll,DRAKE,OSSIE SOLEM,No Poll
1928,PHILADELPHIA,NOV,3,1928,ROCKNE,W,21-10,No Poll,PENN STATE,HUGO BEDZEK,No Poll
1928,YANKEE STADIUM,NOV,10,1928,ROCKNE,W,22-10,No Poll,ARMY,BILL JONES,No Poll
1928,HOME,NOV,17,1928,ROCKNE,L,13-42,No Poll,CARNEGIE TECH,WALTER STEFFEN,No Poll
1928,AWAY,DEC,1,1928,ROCKNE,L,14-27,No Poll,SOUTHERN CAL,HOWARD JONES,No Poll
1929,AWAY,OCT,5,1929,ROCKNE,W,14-0,No Poll,INDIANA,HARLAN PAGE,No Poll
1929,BALTIMORE,OCT,12,1929,ROCKNE,W,14-7,No Poll,NAVY,BILL INGRAM,No Poll
1929,SOLDIER FIELD,OCT,19,1929,ROCKNE,W,19-0,No Poll,WISCONSIN,GLENN THISTLEWAITE,No Poll
1929,AWAY,OCT,26,1929,ROCKNE,W,19-0,No Poll,CARNEGIE TECH,WALTER STEFFEN,No Poll
1929,AWAY,NOV,2,1929,ROCKNE,W,26-6,No Poll,GEORGIA TECH,WILLIAM ALEXANDER,No Poll
1929,SOLDIER FIELD,NOV,9,1929,ROCKNE,W,19-7,No Poll,DRAKE,OSSIE SOLEM,No Poll
1929,SOLDIER FIELD,NOV,16,1929,ROCKNE,W,13-12,No Poll,SOUTHERN CAL,HOWARD JONES,No Poll
1929,AWAY,NOV,23,1929,ROCKNE,W,26-6,No Poll,NORTHWESTERN,DICK HANLEY,No Poll
1929,YANKEE STADIUM,NOV,30,1929,ROCKNE,W,28-10,No Poll,ARMY,BILL JONES,No Poll
1930,HOME,OCT,4,1930,ROCKNE,W,20-14,No Poll,SO METHODIST,RAY MORRISON,No Poll
1930,HOME,OCT,11,1930,ROCKNE,W,26-2,No Poll,NAVY,BILL INGRAM,No Poll
1930,HOME,OCT,18,1930,ROCKNE,W,21-6,No Poll,CARNEGIE TECH,WALTER STEFFEN,No Poll
1930,AWAY,OCT,25,1930,ROCKNE,W,35-19,No Poll,PITT,JOCK SUTHERLAND,No Poll
1930,HOME,NOV,1,1930,ROCKNE,W,27-0,No Poll,INDIANA,HARLAN PAGE,No Poll
1930,AWAY,NOV,8,1930,ROCKNE,W,60-20,No Poll,PENNSYLVANIA,LUDLOW WRAY,No Poll
1930,HOME,NOV,15,1930,ROCKNE,W,28-7,No Poll,DRAKE,OSSIE SOLEM,No Poll
1930,AWAY,NOV,22,1930,ROCKNE,W,14-0,No Poll,NORTHWESTERN,DICK HANLEY,No Poll
1930,SOLDIER FIELD,NOV,29,1930,ROCKNE,W,14-10,No Poll,ARMY,RALPH SASSE,No Poll
1930,AWAY,DEC,6,1930,ROCKNE,W,27-0,No Poll,SOUTHERN CAL,HOWARD JONES,No Poll
1931,AWAY,OCT,3,1931,ANDERSON,W,25-0,No Poll,INDIANA,EARLE HAYES,No Poll
1931,SOLDIER FIELD,OCT,10,1931,ANDERSON,T,0-0,No Poll,NORTHWESTERN,DICK HANLEY,No Poll
1931,HOME,OCT,17,1931,ANDERSON,W,63-0,No Poll,DRAKE,OSSIE SOLEM,No Poll
1931,HOME,OCT,24,1931,ANDERSON,W,25-12,No Poll,PITT,JOCK SUTHERLAND,No Poll
1931,AWAY,OCT,31,1931,ANDERSON,W,19-0,No Poll,CARNEGIE TECH,WALTER STEFFEN,No Poll
1931,HOME,NOV,7,1931,ANDERSON,W,49-0,No Poll,PENNSYLVANIA,HARVEY HARMAN,No Poll
1931,BALTIMORE,NOV,14,1931,ANDERSON,W,20-0,No Poll,NAVY,RIP MILLER,No Poll
1931,HOME,NOV,21,1931,ANDERSON,L,14-16,No Poll,SOUTHERN CAL,HOWARD JONES,No Poll
1931,YANKEE STADIUM,NOV,28,1931,ANDERSON,L,0-12,No Poll,ARMY,RALPH SASSE,No Poll
1932,HOME,OCT,8,1932,ANDERSON,W,73-0,No Poll,HASKELL,WILLIAM DIETZ,No Poll
1932,HOME,OCT,15,1932,ANDERSON,W,62-0,No Poll,DRAKE,EVAN WILLIAMS,No Poll
1932,HOME,OCT,22,1932,ANDERSON,W,42-0,No Poll,CARNEGIE TECH,WALTER STEFFEN,No Poll
1932,AWAY,OCT,29,1932,ANDERSON,L,0-12,No Poll,PITT,JOCK SUTHERLAND,No Poll
1932,AWAY,NOV,5,1932,ANDERSON,W,24-6,No Poll,KANSAS,AD LINDSEY,No Poll
1932,HOME,NOV,12,1932,ANDERSON,W,21-0,No Poll,NORTHWESTERN,DICK HANLEY,No Poll
1932,CLEVELAND,NOV,19,1932,ANDERSON,W,22-10,No Poll,NAVY,RIP MILLER,No Poll
1932,YANKEE STADIUM,NOV,26,1932,ANDERSON,W,21-0,No Poll,ARMY,RALPH SASSE,No Poll
1932,AWAY,DEC,10,1932,ANDERSON,L,0-13,No Poll,SOUTHERN CAL,HOWARD JONES,No Poll
1933,HOME,OCT,7,1933,ANDERSON,T,0-0,No Poll,KANSAS,AD LINDSEY,No Poll
1933,AWAY,OCT,14,1933,ANDERSON,W,22-10,No Poll,INDIANA,EARLE HAYES,No Poll
1933,AWAY,OCT,21,1933,ANDERSON,L,21-0,No Poll,CARNEGIE TECH,HOWARD HARPSTER,No Poll
1933,HOME,OCT,28,1933,ANDERSON,L,0-14,No Poll,PITT,JOCK SUTHERLAND,No Poll
1933,BALTIMORE,NOV,4,1933,ANDERSON,L,0-7,No Poll,NAVY,RIP MILLER,No Poll
1933,HOME,NOV,11,1933,ANDERSON,L,0-19,No Poll,PURDUE,NOBLE KIZER,No Poll
1933,AWAY,NOV,18,1933,ANDERSON,W,21-10,No Poll,NORTHWESTERN,DICK HANLEY,No Poll
1933,HOME,NOV,25,1933,ANDERSON,L,0-19,No Poll,SOUTHERN CAL,HOWARD JONES,No Poll
1933,YANKEE STADIUM,DEC,2,1933,ANDERSON,W,13-12,No Poll,ARMY,GAR DAVIDSON,No Poll
1934,HOME,OCT,6,1934,LAYDEN,L,13-42,No Poll,TEXAS,JACK CHEVIGNY,No Poll
1934,HOME,OCT,13,1934,LAYDEN,W,18-7,No Poll,PURDUE,NOBLE KIZER,No Poll
1934,HOME,OCT,20,1934,LAYDEN,W,13-0,No Poll,CARNEGIE TECH,HOWARD HARPSTER,No Poll
1934,HOME,OCT,27,1934,LAYDEN,W,19-0,No Poll,WISCONSIN,CLARENCE SPEARS,No Poll
1934,AWAY,NOV,3,1934,LAYDEN,L,0-19,No Poll,PITT,JOCK SUTHERLAND,No Poll
1934,CLEVELAND,NOV,10,1934,LAYDEN,L,7-10,No Poll,NAVY,TOM HAMILTON,No Poll
1934,AWAY,NOV,17,1934,LAYDEN,W,20-7,No Poll,NORTHWESTERN,DICK HANLEY,No Poll
1934,YANKEE STADIUM,NOV,24,1934,LAYDEN,W,20-7,No Poll,ARMY,GAR DAVIDSON,No Poll
1934,AWAY,DEC,8,1934,LAYDEN,W,14-0,No Poll,SOUTHERN CAL,HOWARD JONES,No Poll
1935,HOME,SEP,28,1935,LAYDEN,W,28-7,No Poll,KANSAS,AD LINDSEY,No Poll
1935,AWAY,OCT,5,1935,LAYDEN,W,14-3,No Poll,CARNEGIE TECH,HOWARD HARPSTER,No Poll
1935,AWAY,OCT,12,1935,LAYDEN,W,27-0,No Poll,WISCONSIN,CLARENCE SPEARS,No Poll
1935,HOME,OCT,19,1935,LAYDEN,W,14-0,No Poll,PITT,JOCK SUTHERLAND,No Poll
1935,BALTIMORE,OCT,26,1935,LAYDEN,W,14-0,No Poll,NAVY,TOM HAMILTON,No Poll
1935,AWAY,NOV,2,1935,LAYDEN,W,18-13,No Poll,OHIO STATE,FRANCIS SCHMIDT,No Poll
1935,HOME,NOV,9,1935,LAYDEN,L,14-52,No Poll,NORTHWESTERN,PAPPY WALDORF,No Poll
1935,YANKEE STADIUM,NOV,16,1935,LAYDEN,T,10-10,No Poll,ARMY,GAR DAVIDSON,No Poll
1935,HOME,NOV,23,1935,LAYDEN,W,20-13,No Poll,SOUTHERN CAL,HOWARD JONES,No Poll
1936,HOME,OCT,3,1936,LAYDEN,W,21-7,No Poll,CARNEGIE TECH,HOWARD HARPSTER,No Poll
1936,HOME,OCT,10,1936,LAYDEN,W,14-6,No Poll,WASHINGTON-ST. LOUIS,JIMMY CONZELMAN,No Poll
1936,HOME,OCT,17,1936,LAYDEN,W,27-0,No Poll,WISCONSIN,HARRY STUHLDREHER,No Poll
1936,AWAY,OCT,24,1936,LAYDEN,L,0-26,7,PITT,JOCK SUTHERLAND,9
1936,HOME,OCT,31,1936,LAYDEN,W,27-0,Not Ranked,OHIO STATE,FRANCIS SCHMIDT,Not Ranked
1936,BALTIMORE,NOV,7,1936,LAYDEN,L,0-3,13,NAVY,TOM HAMILTON,Not Ranked
1936,YANKEE STADIUM,NOV,14,1936,LAYDEN,W,20-6,Not Ranked,ARMY,GAR DAVIDSON,Not Ranked
1936,HOME,NOV,21,1936,LAYDEN,W,26-6,11,NORTHWESTERN,PAPPY WALDORF,1
1936,AWAY,DEC,5,1936,LAYDEN,T,13-13,9,SOUTHERN CAL,HOWARD JONES,Not Ranked
1937,HOME,OCT,2,1937,LAYDEN,W,21-0,No Poll,DRAKE,VEE GREEN,No Poll
1937,AWAY,OCT,9,1937,LAYDEN,T,0-0,No Poll,ILLINOIS,BOB ZUPPKE,No Poll
1937,AWAY,OCT,16,1937,LAYDEN,L,10-28,No Poll,CARNEGIE TECH,BILL KERN,No Poll
1937,HOME,OCT,23,1937,LAYDEN,W,21-0,Not Ranked,NAVY,HANK HARDWICK,Not Ranked
1937,AWAY,OCT,30,1937,LAYDEN,W,13-6,Not Ranked,MINNESOTA,BERNIE BIERMAN,4
1937,HOME,NOV,6,1937,LAYDEN,L,52-0,12,PITT,JOCK SUTHERLAND,3
1937,YANKEE STADIUM,NOV,13,1937,LAYDEN,W,14-6,18,ARMY,GAR DAVIDSON,Not Ranked
1937,AWAY,NOV,20,1937,LAYDEN,W,20-14,12,NORTHWESTERN,PAPPY WALDORF,Not Ranked
1937,HOME,NOV,27,1937,LAYDEN,W,13-6,9,SOUTHERN CAL,HOWARD JONES,Not Ranked
1938,HOME,OCT,1,1938,LAYDEN,W,52-0,No Poll,KANSAS,AD LINDSEY,No Poll
1938,AWAY,OCT,8,1938,LAYDEN,W,14-6,No Poll,GEORGIA TECH,WILLIAM ALEXANDER,No Poll
1938,HOME,OCT,15,1938,LAYDEN,W,14-6,No Poll,ILLINOIS,BOB ZUPPKE,No Poll
1938,HOME,OCT,22,1938,LAYDEN,W,14-10,5,CARNEGIE TECH,BILL KERN,13
1938,YANKEE STADIUM,OCT,29,1938,LAYDEN,W,19-7,7,ARMY,WILLIAM WOOD,Not Ranked
1938,BALTIMORE,NOV,5,1938,LAYDEN,W,15-0,4,NAVY,HANK HARDWICK,Not Ranked
1938,HOME,NOV,12,1938,LAYDEN,W,19-0,2,MINNESOTA,BERNIE BIERMAN,12
1938,AWAY,NOV,19,1938,LAYDEN,W,21-20,1,NORTHWESTERN,PAPPY WALDORF,16
1938,AWAY,DEC,3,1938,LAYDEN,L,0-13,1,SOUTHERN CAL,HOWARD JONES,8
1939,HOME,SEP,30,1939,LAYDEN,W,10-7,No Poll,PURDUE,MAL ELWARD,No Poll
1939,HOME,OCT,7,1939,LAYDEN,W,17-14,No Poll,GEORGIA TECH,WILLIAM ALEXANDER,No Poll
1939,HOME,OCT,14,1939,LAYDEN,W,20-19,No Poll,SO METHODIST,MATTY BELL,No Poll
1939,CLEVELAND,OCT,21,1939,LAYDEN,W,14-7,2,NAVY,SWEDE LARSON,Not Ranked
1939,AWAY,OCT,28,1939,LAYDEN,W,14-10,2,CARNEGIE TECH,BILL KERN,Not Ranked
1939,YANKEE STADIUM,NOV,4,1939,LAYDEN,W,14-0,4,ARMY,WILLIAM WOOD,Not Ranked
1939,AWAY,NOV,11,1939,LAYDEN,L,14-28,3,IOWA,EDDIE ANDERSON,Not Ranked
1939,HOME,NOV,18,1939,LAYDEN,W,19-14,9,NORTHWESTERN,PAPPY WALDORF,Not Ranked
1939,HOME,NOV,25,1939,LAYDEN,L,10-42,7,SOUTHERN CAL,HOWARD JONES,4
1940,HOME,OCT,5,1940,LAYDEN,W,25-7,No Poll,PACIFIC,AMOS ALONZO STAGG,No Poll
1940,HOME,OCT,12,1940,LAYDEN,W,26-20,No Poll,GEORGIA TECH,WILLIAM ALEXANDER,No Poll
1940,HOME,OCT,19,1940,LAYDEN,W,61-0,6,CARNEGIE TECH,EDWARD BAKER,Not Ranked
1940,AWAY,OCT,26,1940,LAYDEN,W,26-0,2,ILLINOIS,BOB ZUPPKE,Not Ranked
1940,YANKEE STADIUM,NOV,2,1940,LAYDEN,W,21-0,2,ARMY,WILLIAM WOOD,Not Ranked
1940,BALTIMORE,NOV,9,1940,LAYDEN,W,13-7,7,NAVY,SWEDE LARSON,Not Ranked
1940,HOME,NOV,16,1940,LAYDEN,L,0-7,7,IOWA,EDDIE ANDERSON,Not Ranked
1940,AWAY,NOV,23,1940,LAYDEN,L,0-20,14,NORTHWESTERN,PAPPY WALDORF,10
1940,AWAY,DEC,7,1940,LAYDEN,W,13-10,Not Ranked,SOUTHERN CAL,HOWARD JONES,Not Ranked
1941,HOME,SEP,27,1941,LEAHY,W,38-7,No Poll,ARIZONA,MILES CASTEEL,No Poll
1941,HOME,OCT,4,1941,LEAHY,W,19-6,No Poll,INDIANA,BO McMILLIN,No Poll
1941,AWAY,OCT,11,1941,LEAHY,W,20-0,No Poll,GEORGIA TECH,WILLIAM ALEXANDER,No Poll
1941,AWAY,OCT,18,1941,LEAHY,W,16-0,8,CARNEGIE TECH,EDWARD BAKER,Not Ranked
1941,HOME,OCT,25,1941,LEAHY,W,49-14,7,ILLINOIS,BOB ZUPPKE,Not Ranked
1941,YANKEE STADIUM,NOV,1,1941,LEAHY,T,0-0,6,ARMY,EARL BLAIK,14
1941,BALTIMORE,NOV,8,1941,LEAHY,W,20-13,7,NAVY,SWEDE LARSON,6
1941,AWAY,NOV,15,1941,LEAHY,W,21-14,5,NORTHWESTERN,PAPPY WALDORF,8
1941,HOME,NOV,22,1941,LEAHY,W,20-18,4,SOUTHERN CAL,SAM BARRY,Not Ranked
1942,AWAY,SEP,26,1942,LEAHY,T,14-14,No Poll,WISCONSIN,HARRY STUHLDREHER,No Poll
1942,HOME,OCT,3,1942,LEAHY,L,13-26,No Poll,GEORGIA TECH,WILLIAM ALEXANDER,No Poll
1942,HOME,OCT,10,1942,LEAHY,W,27-0,No Poll,STANFORD,MARCHY SCHWARTZ,No Poll
1942,HOME,OCT,17,1942,LEAHY,W,28-0,No Poll,IOWA PREFLIGHT,BERNIE BIERMAN,No Poll
1942,AWAY,OCT,24,1942,LEAHY,W,21-14,8,ILLINOIS,RAY ELIOT,5
1942,CLEVELAND,OCT,31,1942,LEAHY,W,10-0,4,NAVY,BILLICK MELCHEL,Not Ranked
1942,YANKEE STADIUM,NOV,7,1942,LEAHY,W,13-0,4,ARMY,EARL BLAIK,19
1942,HOME,NOV,14,1942,LEAHY,L,20-32,4,MICHIGAN,FRITZ CRISLER,6
1942,HOME,NOV,21,1942,LEAHY,W,27-20,8,NORTHWESTERN,PAPPY WALDORF,Not Ranked
1942,AWAY,NOV,28,1942,LEAHY,W,13-0,8,SOUTHERN CAL,JEFF CRAVATH,14
1942,SOLDIER FIELD,DEC,5,1942,LEAHY,T,13-13,6,GREAT LAKES NTS,TONY HINKLE,Not Ranked
1943,AWAY,SEP,25,1943,LEAHY,W,41-0,No Poll,PITT,CLARK SHAUGHNESSY,No Poll
1943,HOME,OCT,2,1943,LEAHY,W,55-13,No Poll,GEORGIA TECH,WILLIAM ALEXANDER,No Poll
1943,AWAY,OCT,9,1943,LEAHY,W,35-12,1,MICHIGAN,FRITZ CRISLER,2
1943,AWAY,OCT,16,1943,LEAHY,W,50-0,1,WISCONSIN,HARRY STUHLDREHER,Not Ranked
1943,HOME,OCT,23,1943,LEAHY,W,47-0,1,ILLINOIS,RAY ELIOT,Not Ranked
1943,CLEVELAND,OCT,30,1943,LEAHY,W,33-6,1,NAVY,BILLICK MELCHEL,3
1943,YANKEE STADIUM,NOV,6,1943,LEAHY,W,26-0,1,ARMY,EARL BLAIK,3
1943,AWAY,NOV,13,1943,LEAHY,W,25-6,1,NORTHWESTERN,PAPPY WALDORF,8
1943,HOME,NOV,20,1943,LEAHY,W,14-13,1,IOWA PREFLIGHT,DON FAUROT,2
1943,AWAY,NOV,27,1943,LEAHY,L,14-19,1,GREAT LAKES NTS,TONY HINKLE,Not Ranked
1944,AWAY,SEP,30,1944,McKEEVER,W,58-0,No Poll,PITT,CLARK SHAUGHNESSY,No Poll
1944,HOME,OCT,7,1944,McKEEVER,W,26-0,No Poll,TULANE,"CLAUDE SIMONS, JR.",No Poll
1944,FENWAY PARK,OCT,14,1944,McKEEVER,W,64-0,1,DARTMOUTH,EARL BROWN,Not Ranked
1944,HOME,OCT,21,1944,McKEEVER,W,28-13,1,WISCONSIN,HARRY STUHLDREHER,Not Ranked
1944,AWAY,OCT,28,1944,McKEEVER,W,13-7,1,ILLINOIS,RAY ELIOT,14
1944,BALTIMORE,NOV,4,1944,McKEEVER,L,13-32,2,NAVY,OSCAR HAGBERG,6
1944,YANKEE STADIUM,NOV,11,1944,McKEEVER,L,0-59,5,ARMY,EARL BLAIK,1
1944,HOME,NOV,18,1944,McKEEVER,W,21-0,11,NORTHWESTERN,PAPPY WALDORF,Not Ranked
1944,AWAY,NOV,25,1944,McKEEVER,W,21-0,18,GEORGIA TECH,WILLIAM ALEXANDER,10
1944,HOME,DEC,2,1944,McKEEVER,W,28-7,9,GREAT LAKES NTS,PAUL BROWN,12
1945,HOME,SEP,29,1945,DEVORE,W,21-0,No Poll,ILLINOIS,RAY ELIOT,No Poll
1945,AWAY,OCT,6,1945,DEVORE,W,40-7,No Poll,GEORGIA TECH,BOBBY DODD,No Poll
1945,HOME,OCT,13,1945,DEVORE,W,34-0,3,DARTMOUTH,TUSS McLAUGHRY,Not Ranked
1945,AWAY,OCT,20,1945,DEVORE,W,39-9,3,PITT,CLARK SHAUGHNESSY,Not Ranked
1945,HOME,OCT,27,1945,DEVORE,W,56-0,2,IOWA,CLEM CROWE,Not Ranked
1945,CLEVELAND,NOV,3,1945,DEVORE,T,10-10,2,NAVY,OSCAR HAGBERG,3
1945,YANKEE STADIUM,NOV,10,1945,DEVORE,L,0-48,2,ARMY,EARL BLAIK,1
1945,AWAY,NOV,17,1945,DEVORE,W,34-7,7,NORTHWESTERN,PAPPY WALDORF,Not Ranked
1945,AWAY,NOV,24,1945,DEVORE,W,32-6,5,TULANE,"CLAUDE SIMONS, JR.",Not Ranked
1945,AWAY,DEC,1,1945,DEVORE,L,10-14,5,GREAT LAKES NTS,PAUL BROWN,Not Ranked
1946,AWAY,SEP,28,1946,LEAHY,W,26-6,No Poll,ILLINOIS,RAY ELIOT,No Poll
1946,HOME,OCT,5,1946,LEAHY,W,33-0,No Poll,PITT,WES FESLER,No Poll
1946,HOME,OCT,12,1946,LEAHY,W,49-6,3,PURDUE,CECIL ISBELL,Not Ranked
1946,AWAY,OCT,26,1946,LEAHY,W,41-6,2,IOWA,EDDIE ANDERSON,17
1946,BALTIMORE,NOV,2,1946,LEAHY,W,28-0,2,NAVY,TOM HAMILTON,Not Ranked
1946,YANKEE STADIUM,NOV,9,1946,LEAHY,T,0-0,2,ARMY,EARL BLAIK,1
1946,HOME,NOV,16,1946,LEAHY,W,27-0,2,NORTHWESTERN,PAPPY WALDORF,Not Ranked
1946,AWAY,NOV,23,1946,LEAHY,W,41-0,2,TULANE,HENRY FRNKA,Not Ranked
1946,HOME,NOV,30,1946,LEAHY,W,26-6,2,SOUTHERN CAL,JEFF CRAVATH,16
1947,AWAY,OCT,4,1947,LEAHY,W,40-6,No Poll,PITT,WALTER MILLIGAN,No Poll
1947,AWAY,OCT,11,1947,LEAHY,W,22-7,1,PURDUE,STU HOLCOMB,Not Ranked
1947,HOME,OCT,18,1947,LEAHY,W,31-0,2,NEBRASKA,BERNIE MASTERSON,Not Ranked
1947,HOME,OCT,25,1947,LEAHY,W,21-0,2,IOWA,EDDIE ANDERSON,Not Ranked
1947,CLEVELAND,NOV,1,1947,LEAHY,W,27-0,1,NAVY,TOM HAMILTON,Not Ranked
1947,HOME,NOV,8,1947,LEAHY,W,27-7,1,ARMY,EARL BLAIK,9
1947,AWAY,NOV,15,1947,LEAHY,W,26-19,1,NORTHWESTERN,BOB VOIGHTS,Not Ranked
1947,HOME,NOV,22,1947,LEAHY,W,59-6,2,TULANE,HENRY FRNKA,Not Ranked
1947,AWAY,DEC,6,1947,LEAHY,W,38-7,1,SOUTHERN CAL,JEFF CRAVATH,3
1948,HOME,SEP,25,1948,LEAHY,W,28-27,No Poll,PURDUE,STU HOLCOMB,No Poll
1948,AWAY,OCT,2,1948,LEAHY,W,40-0,No Poll,PITT,WALTER MILLIGAN,No Poll
1948,HOME,OCT,9,1948,LEAHY,W,26-7,1,MICHIGAN STATE,BIGGIE MUNN,Not Ranked
1948,AWAY,OCT,16,1948,LEAHY,W,44-13,2,NEBRASKA,GEORGE CLARK,Not Ranked
1948,AWAY,OCT,23,1948,LEAHY,W,27-12,2,IOWA,EDDIE ANDERSON,Not Ranked
1948,BALTIMORE,OCT,30,1948,LEAHY,W,41-7,2,NAVY,GEORGE SAUER,Not Ranked
1948,AWAY,NOV,6,1948,LEAHY,W,42-6,1,INDIANA,CLYDE SMITH,Not Ranked
